9 35 3
9 34 4
9 33 2
9 24 3.5
9 21 2
9 12 2
8 35 2
8 34 2
8 33 4
8 32 1
8 24 2
8 20 2
8 12 2
7 35 1
7 34 1.5
7 33 1
7 32 4
7 31 4.5
7 24 2
7 19 2
7 18 2.5
7 12 2
6 7 2
6 32 3
6 31 2
6 24 2.5
6 23 1
6 19 1
6 18 1
6 12 2.5
6 11 1
5 6 2.5
5 30 4.5
5 29 4
5 28 3
5 27 3
5 26 4
5 25 2
5 17 2
5 16 2.5
4 6 4
4 5 1
4 30 5
4 29 4
4 28 3
4 27 4
4 26 3
4 25 1
4 17 2.5
4 16 2
3 6 2
3 30 4
3 29 2
3 28 4
3 27 4
3 26 3
3 25 2
3 17 1
3 15 2
31 32 2
2 30 2
2 28 2
2 27 4
2 26 4
2 25 4
2 14 2
29 30 2.5
28 30 2
25 28 1.5
25 27 2.5
25 26 2.5
24 35 2.5
24 31 1
23 35 2
23 24 2
22 35 2
22 24 4
22 23 2
21 34 2
21 33 0.5
21 24 0.5
20 33 2
20 24 0.5
1 30 2
1 29 1
1 28 2
1 27 2
1 26 4
1 25 4
1 13 2
19 32 2
19 31 2
19 24 0.5
18 35 1
18 34 2
18 33 2
18 32 2.5
18 31 2
18 24 1
18 19 2
17 30 2
17 29 2
17 28 1
17 27 2
17 26 2
16 30 3
16 29 2
16 28 2
16 27 2.5
16 26 2
16 17 2
15 30 1
15 28 2
15 27 2
15 26 2
14 29 1
14 27 2
14 26 2.5
14 25 2
13 27 1
13 26 2.5
13 25 2
12 35 4
12 34 1
12 33 1
12 32 1
12 31 2
12 24 2
12 23 2
12 22 4
12 20 1
12 19 1.5
12 18 2
11 35 4
11 34 2
11 33 1
11 24 3
11 23 2
11 22 2.5
11 18 1
11 12 2
10 35 4
10 34 3
10 33 2
10 32 2
10 31 2
10 24 5
10 23 3
10 22 2
10 12 4
10 11 2
0 9 2
0 8 2
0 7 2
0 6 3
0 5 2.5
0 4 2
0 3 2
0 35 2
0 34 2
0 33 2
0 32 2
0 31 2
0 30 3.5
0 2 2
0 29 2
0 28 2
0 27 2
0 26 2
0 25 2.5
0 24 4
0 23 2
0 1 2
0 18 2
0 17 2
0 12 4
0 11 3
0 10 2.5





























































